Created at,Description,Followers Count,Friends Count,Location,Profile Image Url,Statuses Count,User ID,User Name,text
Fri Oct 14 23:10:34 +0000 2022,,54.0,249.0,"Ocoee, FL",http://pbs.twimg.com/profile_images/1507474403143127048/imySGg3__normal.jpg,2102.0,1.5810599218140488e+18,Roberto Cardano,RT @WallStNBA: 🚨🚨Have we reached a Market BOTTOM?? FED Pivot! Cathie Wood ! LISTEN NOW $SPY $arkk $spx $qqq $tsla $amd $nvda $tsm $rivn $bb…
Fri Oct 14 23:10:32 +0000 2022,"Bharat Wing/Sukriti Wing, RT Endorsement unless clarified,Likes not necessarily! चैन से सोना है तो जाग जाओ ।overdose of sarcasm toxic! यही समय है ,सही समय है ।",2071.0,2241.0,,http://pbs.twimg.com/profile_images/1573724255510212608/ZpaXuLLT_normal.jpg,65880.0,1.5810599138452152e+18,Sukriti (सुकृति) Gupta 🇮🇳,"RT @WatcherGuru: Apple, $AAPL fined $19 million in Brazil for not including chargers with iPhones. https://t.co/NImwmQTgSa"
Fri Oct 14 23:10:28 +0000 2022,"Trading in Stocks & Indices - Futures / Options - 14 years + Interests - Spirituality , Religion ( Shaivism ) , Politics , Humour ,Poetry , Nature and Quotes .",765.0,1127.0,"New Delhi, India",http://pbs.twimg.com/profile_images/1105437901599453184/7IpQlaCz_normal.jpg,11452.0,1.581059896971182e+18,Deepak Chhabra,"RT @MapleStax: How to use the Mid-Candle! 🕯️

Look for the Golden Zone (50-61.8% Retracement) for great risk:reward opportunities!

$SPY $Q…"
Fri Oct 14 23:09:30 +0000 2022,Crypto enthusiast • Nft Finder & DeFi lover • follow 👉 @Upbotscom | Always #Btc #Eth #Bnb,286.0,1733.0,USA,http://pbs.twimg.com/profile_images/1527361539032100864/BLtUzuF8_normal.jpg,312.0,1.5810596539828838e+18,Crypto Expert,"RT @Press_Reach: Apple $AAPL Stock Price Expectations Are Shifting 📊

https://t.co/fM9BjwIWwD

#Apple #AAPL #stockmarket #technology #techn…"
Fri Oct 14 23:09:30 +0000 2022,Fond of Connecting with Think Tanks!,210.0,5000.0,,http://pbs.twimg.com/profile_images/1296159944098697222/ShMO7hFF_normal.jpg,1138.0,1.5810596520280228e+18,BuoyantLearner,"RT @MapleStax: How to use the Mid-Candle! 🕯️

Look for the Golden Zone (50-61.8% Retracement) for great risk:reward opportunities!

$SPY $Q…"
Fri Oct 14 23:09:24 +0000 2022,Blockchain Developer and crypto enthusiast,549.0,229.0,,http://pbs.twimg.com/profile_images/1510623107031183362/z1qmMmMS_normal.jpg,72873.0,1.5810596292910162e+18,Father Sena,"RT @WatcherGuru: Apple, $AAPL fined $19 million in Brazil for not including chargers with iPhones. https://t.co/NImwmQTgSa"
Fri Oct 14 23:09:13 +0000 2022,Our goal is to advance our members' trading proficiency in multiple markets...  #Free #Signals @ https://t.co/SulvcGzlP3 #FinTwit,177.0,210.0,"Park City, UT",http://pbs.twimg.com/profile_images/1318034735357071361/cJLPqxEc_normal.jpg,15042.0,1.5810595801044296e+18,Dowstrademus,"$YGYI $CMCAW $EVLV $FPAC $IPIC $TMKRW $FNHC $TSLA $SPY $AAPL $GME $AMC - Get the Alert before the Move Automate, Sl… https://t.co/VaKbpTPGku"
Fri Oct 14 23:09:05 +0000 2022,"Try to learn new things, no knowledge is waste beside knowledge is power #follow4follow",3550.0,4972.0,Nigeria.,http://pbs.twimg.com/profile_images/1485744094337028101/RqHgmw3V_normal.jpg,22731.0,1.5810595482193388e+18,"92melor.eth (💙,🧡)","RT @WatcherGuru: Apple, $AAPL fined $19 million in Brazil for not including chargers with iPhones. https://t.co/NImwmQTgSa"
Fri Oct 14 23:08:27 +0000 2022,Intuitive Code creates artificial intelligence algorithms. #AI #technology #DataScience #MachineLearning #robotics #automation,2925.0,26.0,Portugal,http://pbs.twimg.com/profile_images/1520447017855733766/j3C4owHH_normal.jpg,28944.0,1.581059389460738e+18,Intuitive Code,RT @realalexvieira: Global Security Threat Alert: Elon Musk suggests handing Taiwan over to the Chinese government 🇨🇳 ⚠️ 🇺🇦 $ADBE $TSLA $QQ…
Fri Oct 14 23:08:16 +0000 2022,"Bullet-proof integrity, character, and values since 1989. #technology #investing #news $QQQ $SPY",2147.0,7.0,Portugal,http://pbs.twimg.com/profile_images/1532091442956587008/9rJJi8-v_normal.jpg,41459.0,1.5810593408526664e+18,Alex Vieira,Global Security Threat Alert: Elon Musk suggests handing Taiwan over to the Chinese government 🇨🇳 ⚠️ 🇺🇦 $ADBE $TSLA… https://t.co/t407ysUCee
Fri Oct 14 23:08:10 +0000 2022,Bot that retweets tweets containing #Apple | By: @Romanio0089 | @XiaomiRTBot,858.0,2.0,,http://pbs.twimg.com/profile_images/1275101963831648256/Wj3tntn2_normal.jpg,103306.0,1.5810593179436605e+18,AppleRetweetBot,"RT @AAPLinsights: 🔥🔥 Automated Hourly $AAPL 🍎 Sentiment Report (📈 / 📉) 🔥🔥
1. Product Series Reviews:
#iPhones 81/121
#Mac #Macbook 66/111
#…"
Fri Oct 14 23:08:09 +0000 2022,"Hey, check out this chat room. It's been around since 2015, with real traders helping each other profit",0.0,1.0,NYC,http://pbs.twimg.com/profile_images/1581023099985989632/sE74loRw_normal.jpg,417.0,1.581059314617176e+18,Get Trading alerts and Chatroom Join Now:,"$AAPL Target Price, Sold limit, Take profits"" https://t.co/MAqeeewGj4 ."
Fri Oct 14 23:08:07 +0000 2022,"Check out the best tweets on Stocks. Beware, I am the greatest stocks retweeter. retweets are not endorsment. Find hot stocks with @GambisteFinance.",16652.0,0.0,,http://pbs.twimg.com/profile_images/1495032261594464256/IknQq7Uy_normal.jpg,1905280.0,1.581059303330689e+18,Joe Gambiste,"RT @StockMarketMcro: @elonmusk @JeffBezos @GaryGensler @jimcramer @BarackObama  @SecYellen

$AMZN $TSLA $AAPL all got destroyed today by sh…"
Fri Oct 14 23:07:48 +0000 2022,Crypto trader & chartist #Bitcoin NFT gem collector. Trade with @Superbots_Fi & Claim your daily passive income 💸,983.0,2694.0,USA,http://pbs.twimg.com/profile_images/1528706600135012352/hREQfVN-_normal.jpg,312.0,1.5810592234413957e+18,Crypto Bro,"RT @Press_Reach: Apple $AAPL Stock Price Expectations Are Shifting 📊

https://t.co/fM9BjwIWwD

#Apple #AAPL #stockmarket #technology #techn…"
Fri Oct 14 23:07:32 +0000 2022,"I retweet only hot stocks tweets
The best from the best stocks accounts",1130.0,0.0,,http://pbs.twimg.com/profile_images/1285353223776337920/8EDc9tsC_normal.jpg,113654.0,1.5810591594825032e+18,Michael Blackwood,RT @Tickeron: $AAPL in Uptrend: RSI indicator exits oversold zone. View odds for this and other indicators: https://t.co/m46w8lCiOy #Apple…
Fri Oct 14 23:07:32 +0000 2022,A deep learning implemented NLP sentiment engine for AAPL. Sentiment score is provided in the format of Positive_Sentiment_Score / Negative_Sentiment_Score.,55.0,58.0,,http://pbs.twimg.com/profile_images/1446124022450638854/GFNORZ6p_normal.jpg,6430.0,1.581059157092098e+18,AAPL Insights,"🔥🔥 Automated Hourly $AAPL 🍎 Sentiment Report (📈 / 📉) 🔥🔥
1. Product Series Reviews:
#iPhones 81/121
#Mac #Macbook 66… https://t.co/A9DggbjaiB"
Fri Oct 14 23:06:51 +0000 2022,God Save Ø,602.0,875.0,イゼルローン,http://pbs.twimg.com/profile_images/1580880838744772611/PXgwIuGV_normal.jpg,36993.0,1.5810589859686687e+18,Crusader-Pope,"RT @WatcherGuru: Apple, $AAPL fined $19 million in Brazil for not including chargers with iPhones. https://t.co/NImwmQTgSa"
Fri Oct 14 23:06:43 +0000 2022,,326.0,331.0,,http://pbs.twimg.com/profile_images/1571532653102333955/3QhmkFNu_normal.jpg,5380.0,1.5810589510972252e+18,Jepegchim,"RT @WatcherGuru: Apple, $AAPL fined $19 million in Brazil for not including chargers with iPhones. https://t.co/NImwmQTgSa"
Fri Oct 14 23:06:24 +0000 2022,I am absolutely nobody,70.0,125.0,,http://pbs.twimg.com/profile_images/1545752579409338368/BU_wRAaA_normal.jpg,2749.0,1.5810588743582638e+18,MarketChurner of various markets,"@BichonRedux Nah that will take forever. TSLA going down is actually great news. 

TSLA 50
AAPL 80

that’s when it… https://t.co/uwqMxuFuCk"
Fri Oct 14 23:06:19 +0000 2022,Phatman | Army Vet | MisFit | FF / EMT | Drink water and Drive on”,1255.0,3617.0,United States,http://pbs.twimg.com/profile_images/1578546309799329794/kyBjfLTt_normal.jpg,12100.0,1.5810588523004273e+18,🎗️Phatman,"RT @WatcherGuru: Apple, $AAPL fined $19 million in Brazil for not including chargers with iPhones. https://t.co/NImwmQTgSa"
